Product_ID,productAsin,country,Column2,date,Year,isVerified,Review_ID,ratingScore,reviewTitle,Most Pop. Review Words,Count of  Pop. Review Words2,reviewDescription,reviewUrl,reviewedIn,variant,2,l,
11,B09G9BL5CP,India,Jun-22,6/2/2022,2022,TRUE,11,5,Truly worth the money spent! Even if you go broke!,Excellent,164,"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.",https://www.amazon.in/gp/customer-reviews/R1ROPVLONGNUAZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 6 February 2022,Colour, PinkSize, 256 GB,
12,B09G9BL5CP,India,Jun-24,6/7/2024,2024,TRUE,12,5,I love it,Amazing,126,Nice,https://www.amazon.in/gp/customer-reviews/R66RSI0SENEH2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 6 July 2024,Colour, PinkSize, 256 GB,
13,B09G9BL5CP,India,May-24,18-05-2024,2024,TRUE,13,5,It’s a legit iPhone,Great,297,It’s a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good,https://www.amazon.in/gp/customer-reviews/R2S11RNO5ELEDP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 18 May 2024,Colour, PinkSize, 256 GB,
14,B09G9BL5CP,India,Nov-24,11/3/2024,2024,TRUE,14,5,Worth every penny,Perfect,162,What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.,https://www.amazon.in/gp/customer-reviews/R2B0L31IXBMHLA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2024,Colour, PinkSize, 256 GB,
15,B09G9BL5CP,India,Dec-23,12/10/2023,2023,TRUE,15,4,Nice.,Outstanding,14,I bought the product little expensive. Within a month price dropped by Rs.17000.,https://www.amazon.in/gp/customer-reviews/R1BZJOMYXF9K7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 12 October 2023,Colour, PinkSize, 256 GB,
16,B09G9BL5CP,India,Nov-22,11/3/2022,2022,TRUE,16,5,Worth the product,,92,"Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13.",https://www.amazon.in/gp/customer-reviews/RUT3AECX0D2CJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2022,Colour, PinkSize, 256 GB,
17,B09G9BL5CP,India,Oct-23,31-10-2023,2023,TRUE,17,3,It's been a week since I've been using this phone,Terrible,7,Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money,https://www.amazon.in/gp/customer-reviews/R2WHHBNWQ6YL9K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 31 October 2023,Colour, PinkSize, 256 GB,
18,B09G9BL5CP,India,Nov-23,29-11-2023,2023,TRUE,18,5,Great,Disappointing,20,Loved it,https://www.amazon.in/gp/customer-reviews/RZQ10EXG69IQX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 29 November 2023,Colour, PinkSize, 256 GB,
19,B09G9BL5CP,India,Aug-22,8/9/2022,2022,TRUE,19,5,Same as shown in pictures,Horrible,5,There’s no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.,https://www.amazon.in/gp/customer-reviews/R1ZGOKCP4HIKP0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 8 September 2022,Colour, PinkSize, 256 GB,
20,B09G9BL5CP,India,Feb-24,14-02-2024,2024,TRUE,20,2,My device is not working need help,Awful,1,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,https://www.amazon.in/gp/customer-reviews/R2TDE5OQNJ9WJR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 14 February 2024,Colour, PinkSize, 256 GB,
21,B09G9BL5CP,India,Jun-24,6/8/2024,2024,TRUE,21,5,Its the best,Poor,92,Best,https://www.amazon.in/gp/customer-reviews/RB5GEL844W4OU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 6 August 2024,Colour, BlueSize, 256 GB,
22,B09G9BL5CP,India,Jun-24,25-06-2024,2024,TRUE,22,3,Not worth,,,Not worth,https://www.amazon.in/gp/customer-reviews/R3S8NCTCPRK90Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 25 June 2024,Colour, BlueSize, 256 GB,
23,B09G9BL5CP,India,Dec-24,12/5/2024,2024,TRUE,23,3,Improved version of iPhone 11,,,Nothing new features only model changed,https://www.amazon.in/gp/customer-reviews/R2QO7SAC741QEC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 12 May 2024,Colour, BlueSize, 256 GB,
24,B09G9BL5CP,India,Jul-24,21-07-2024,2024,TRUE,24,2,Doubtful,,,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,https://www.amazon.in/gp/customer-reviews/R2QYG29TK95ACF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 21 July 2024,Colour, BlueSize, 256 GB,
25,B09G9BL5CP,India,Apr-23,4/11/2023,2023,TRUE,25,5,Amazing and Best value for money Iphone,,,"This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience.",https://www.amazon.in/gp/customer-reviews/R1IOPFMC9XS0GR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 4 November 2023,Colour, BlueSize, 256 GB,
26,B09G9BL5CP,India,Feb-24,15-02-2024,2024,TRUE,26,5,Good,,,Good not like android,https://www.amazon.in/gp/customer-reviews/R1SB54DZIRZFGI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 15 February 2024,Colour, BlueSize, 256 GB,
27,B09G9BL5CP,India,Jul-24,7/8/2024,2024,FALSE,27,4,Camera is impressive but i am not happy with battery's,,,Camera is impressive but i am not happy with battery's,https://www.amazon.in/gp/customer-reviews/R15DK15UHWE5WQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 7 August 2024,Colour, BlueSize, 256 GB,
28,B09G9BL5CP,India,Jan-24,24-01-2024,2024,TRUE,28,5,Supar mobile phone,,,Good charge,https://www.amazon.in/gp/customer-reviews/R386I6XKKRUPQN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 24 January 2024,Colour, BlueSize, 256 GB,
29,B09G9BL5CP,India,Jul-22,7/4/2022,2022,TRUE,29,4,Good but it’s not recommended to all,,,Actually I’m android user now switched to iPhone user experience is good but camera quality isn’t meet my expectations when taken photos on day times and little low lights you’ll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model,https://www.amazon.in/gp/customer-reviews/R334THP5JBZCC7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 7 April 2022,Colour, BlueSize, 256 GB,
30,B09G9BL5CP,India,Oct-23,10/12/2023,2023,TRUE,30,5,Good,,,Very good I am happy,https://www.amazon.in/gp/customer-reviews/R2PVS4ORKRAUKA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 10 December 2023,Colour, BlueSize, 256 GB,
31,B09G9BL5CP,India,Oct-24,10/8/2024,2024,TRUE,31,4,Good,,,Works fine,https://www.amazon.in/gp/customer-reviews/RLSUAWT4HS9DS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 10 August 2024,Colour, GreenSize, 256 GB,
32,B09G9BL5CP,India,Jul-24,18-07-2024,2024,TRUE,32,4,Good,,,Cool,https://www.amazon.in/gp/customer-reviews/RV70X0EJA15YG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 18 July 2024,Colour, GreenSize, 256 GB,
33,B09G9BL5CP,India,Aug-24,22-08-2024,2024,TRUE,33,5,Apple phone,,,"As it is an apple product, quality is ensured and proven",https://www.amazon.in/gp/customer-reviews/R159GE2Q7WQVXW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 22 August 2024,Colour, GreenSize, 256 GB,
34,B09G9BL5CP,India,Jul-24,7/7/2024,2024,TRUE,34,5,Dear Apple,,,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback,https://www.amazon.in/gp/customer-reviews/R2FR17VE2M2MWJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 7 July 2024,Colour, GreenSize, 256 GB,
35,B09G9BL5CP,India,Jan-24,1/6/2024,2024,TRUE,35,5,excellent,,,fine,https://www.amazon.in/gp/customer-reviews/R3MSUJ1PH2TDUF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 1 June 2024,Colour, GreenSize, 256 GB,
36,B09G9BL5CP,India,Nov-23,11/10/2023,2023,TRUE,36,5,It's good for content creation,,,"I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me.",https://www.amazon.in/gp/customer-reviews/R3DEEQS24TWLBD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 11 October 2023,Colour, GreenSize, 256 GB,
37,B09G9BL5CP,India,Feb-24,2/7/2024,2024,TRUE,37,2,No airdrop and personal hotspot .,,,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHave  personal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",https://www.amazon.in/gp/customer-reviews/R1293VGUFGE1PA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 2 July 2024,Colour, GreenSize, 256 GB,
38,B09G9BL5CP,India,Oct-23,29-10-2023,2023,TRUE,38,4,Bawal chij hai be..😀,,,Bawal chij hai be..😀,https://www.amazon.in/gp/customer-reviews/R2LG7DDX5HRCIS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 29 October 2023,Colour, GreenSize, 256 GB,
39,B09G9BL5CP,India,Nov-23,29-11-2023,2023,TRUE,39,5,Amazing phone,,,I received iPhone 13 timely.Product is working great.It improved my lifestyle  as  well.Camera quality is awesome. Battery performance is pretty good.Thanks to Amazon for your great service.,https://www.amazon.in/gp/customer-reviews/R2WIVLELOU57FV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 29 November 2023,Colour, GreenSize, 256 GB,
40,B09G9BL5CP,India,Jun-23,6/11/2023,2023,TRUE,40,3,"Not that great deal. Battery performance, heating,hanging",,,"Facing heating issue, Battery performance is not that good. On screen 12 hrs only as of now. Hanging in between, which we didn’t expect from Apple. Look is fantastic. Small while compared to XR.",https://www.amazon.in/gp/customer-reviews/R25O25F7KZX2DP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 6 November 2023,Colour, GreenSize, 256 GB,
41,B09G9BL5CP,India,Aug-24,19-08-2024,2024,TRUE,41,4,Stunning Design and a Beautiful Pink!,,,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",https://www.amazon.in/gp/customer-reviews/RJID7UME915NJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 19 August 2024,Colour, PinkSize, 128 GB,
42,B09G9BL5CP,India,Apr-24,4/9/2024,2024,TRUE,42,5,My favourite 🤩,,,"I really wanted to get an iPhone and it is my first iPhone but i loved it the sound quality is great and it charges fast, the phone is a bit heavy but it looks classy the display also works well and the camera is the best 🤍🤍",https://www.amazon.in/gp/customer-reviews/R33TKN32S1HW1S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 4 September 2024,Colour, PinkSize, 128 GB,
43,B09G9BL5CP,India,Jun-24,22-06-2024,2024,TRUE,43,5,Still one of best base flagships out there in 2024,,,"Things I liked:1. Solid Build Quality and very polished software (compared to Samsung's One UI)2. Camera:-Rear: Rear camera is pretty decent with good color accuracy in all lighting conditions. Videos are steady and smooth.3. Mic / Speakers: Mic is exceptionally well, isolates all background sounds in noisy situations. Speakers are crisp with good bass.4. Performance: This is where the phone shines, you can throw any app available on the App store and it will run it without breaking a sweat.5. Face Id works like charm, it's the best biometric phone lock out there undoubtedly.Things I wish were better:1. Battery life would have been better, I get up to 4.30 - 5 Hours SOT with mixed usage (high brightness, 1 hour calls, 2-3 hour social media, and 2 hour media playback/music)2. Charges Slow compared to my earlier Samsung. Takes almost 1.2 Hours from 20% to 80%3. Front camera is average, it fails to get correct skin tones and lighting. I keep it on default and still it produces over saturated photos.4. Dialer / phone app sucks. I am someone who makes up to 200 calls a day due to nature of my SCM work. Dialer on Samsung is far better. For unknown call you can add a note to the number in Samsung and it reflect when the person call you again, without having to save unnecessary contacts. Number pad does not detect contact unless complete number is typed.",https://www.amazon.in/gp/customer-reviews/R1HV1XFKSZBWYV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 22 June 2024,Colour, PinkSize, 128 GB,
44,B09G9BL5CP,India,Sep-24,18-09-2024,2024,TRUE,44,5,Awesome product,,,Each and every thingLove this Product,https://www.amazon.in/gp/customer-reviews/RW6X30Q0YBOIL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 18 September 2024,Colour, PinkSize, 128 GB,
45,B09G9BL5CP,India,Sep-24,19-09-2024,2024,TRUE,45,5,The way it was fast.,,,I liked the way it was fast.,https://www.amazon.in/gp/customer-reviews/R2SFHRM8IJBAKW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 19 September 2024,Colour, PinkSize, 128 GB,
46,B09G9BL5CP,India,Oct-23,20-10-2023,2023,TRUE,46,3,feel good yet(6 month),,,"IOS 17.5 (current version updated from 16.6)Thw worst thing as a ios user for me that the fear of update , i heared some updates get display issues battery drain issues , god sake i doesn't had any issues from ios updates , but till i care- device  was great, super handy for me, little feeling of weight .Display - The 60Hz refresh rate didn't felt badly form me cause i am used such kind of device before. - The brightness Range is so comfortable. - The 2160p60 HDR videos in youtube give blissful experianceBattery And charging - The charging time:- i took 1Hour to charge  from 20% to 91% using apple 20w original adapter and cable without any interruption(no electricity break or disconnection ,calls etc) - Battery backup - I am mostly maintain battery in btw 20% <-> 80% so i think this may get one day backup for me ,Average 5h screen on timeThe one day backup is just a advertisemnt advertisement label usaully we use, actually a day like  events,party,outing  we use -camera ,editing app, social media app more than usual use , that day i didn't get a satisfied backup . - Little temperature warming while charging , no heating issue- battery health after 6 month 98%-battery cycle count 194  after 6 monthPerfomance - Good perfomance for video editing ,photography , social media . (I am not a gamer ) Camera-  Even though i  felt some lag or stuck screens in some third party applications - The cinematic Mode is mind Blowing . i missed 13 pro or higher varients for zooming in this mode . - Actually i really miss pro variant for the tele lens and camera features while i using this . Cost is wall for me. - The photos are nice and feature like exposure adjust and filter was good and quality photos . And the 5x zoomed photos is not good for me.it reduced the pixel quality .- The video and optical image stabilisation was mind blowing . i mostly explore on videos . it was soo good , no words other than that.AND THE BIGGEST FEAR FOR ME NOW IS IOS UPDATEi turned off the auto update at first place .i heared about DISPLAY ISSUES,HEATING ISSUES and BUGS in the ios updates for 13 and 14 series.So for expencive and established brand like apple does not fair . This is the only -ve i have to say as a reminder .Also i heared without ios update display issues are happened . Buy the way it is a hardware issue one of the display provider company's batch may show the issues . but we customers cannot identify which company provides the hardaware.I will attach my battery analytics data screnshot photo here so you can better understand how the battery is good The ordering experience in the greate indian sale was worst . I planned to buy this for 45999/- in oct7 greate indian sale offer but i got canceled then i bought for 48999 that was disppointed .As a whole i didn't recommend base models ,i felt i must have buy pro variant but for person who need ios in affordable price i recommend 13 is better than 14",https://www.amazon.in/gp/customer-reviews/R2CT5DGNONWDZ2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 20 October 2023,Colour, PinkSize, 128 GB,
47,B09G9BL5CP,India,Aug-24,17-08-2024,2024,TRUE,47,5,It’s completely worth it product,,,I’m using it from almost 2 months there no issue I’m facing as such now …camera quality is great 👍 and best part is it’s Display gives you premium experience u can go for it,https://www.amazon.in/gp/customer-reviews/RACO676WH8VYK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 17 August 2024,Colour, PinkSize, 128 GB,
48,B09G9BL5CP,India,Nov-24,11/9/2024,2024,TRUE,48,3,Phone seems hanging within 6months of use,,,Picture quality is fine but hanging issue,https://www.amazon.in/gp/customer-reviews/RKT0LHZ8149FL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 11 September 2024,Colour, PinkSize, 128 GB,
49,B09G9BL5CP,India,Jun-24,6/4/2024,2024,TRUE,49,4,So far so good,,,"Writing this review after using the phone for 5 months.Pros- camera clicks amazing pictures, video recording is the best I've seen in a phone so far compared to my previous phones. Stable videos with no shaking- battery life is good. Lasts an entire day with medium use. I don't game on the phone. Charging is as quick as it is with phones that use USB C.- display is soo good. So bright- built is solid, dropped phone a couple of times once with the cover and once without and not even a scratch.- listening to music and watching videos is a hot cos of how good the speakers r. Crystal clear with the right amount of bass and treble.Cons- phone is a tad heavy and using it for hrs on a stretch can result in pain in the wrist or fingersGot the phone in Diwali sale on discount so bang for buck if u ask me",https://www.amazon.in/gp/customer-reviews/R32NZKE2ZN5RGD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 6 April 2024,Colour, PinkSize, 128 GB,
50,B09G9BL5CP,India,Aug-24,14-08-2024,2024,TRUE,50,5,Best Phone,,,best phone,https://www.amazon.in/gp/customer-reviews/R2O9S77W9AFI0S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 14 August 2024,Colour, PinkSize, 128 GB,
51,B09G9BL5CP,India,Dec-24,12/8/2024,2024,TRUE,51,4,Quality,,,Nice one,https://www.amazon.in/gp/customer-reviews/R10HZ6QX4CEG4T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BFKZN,Reviewed in India on 12 August 2024,Colour, StarlightSize, 256 GB,
52,B09G9BL5CP,India,Jun-24,29-06-2024,2024,TRUE,52,4,Amazing,,,"Finally Switched from android. In hand feel is super amazing. they are still susceptible to hacking, among other types of security threats. Photos comes out ver good .Screen quality is wow i mean watching experience is super satisfying.",https://www.amazon.in/gp/customer-reviews/RAXWC1QXRX24X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BFKZN,Reviewed in India on 29 June 2024,Colour, StarlightSize, 256 GB,
53,B09G9BL5CP,India,Sep-24,15-09-2024,2024,TRUE,53,3,Mobile phone getting overheated,,,The new I phone 13 purchased by me is developing overheating while using & charging. May be duplicate product being supplied online. My request to Amazon is to change the phone,https://www.amazon.in/gp/customer-reviews/RNVE91HBLUMR7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BFKZN,Reviewed in India on 15 September 2024,Colour, StarlightSize, 256 GB,
